,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
196001,-6.0834,-5.915,-1.0502,-1.4474,-0.7421,-4.8437,-5.9956,-2.3887,-3.4624,-4.3054,-6.587,-4.0704,-6.0515,-4.1904,-4.7403,-5.7646,-4.2736,-6.2824,-7.4442,-2.6081,-9.1123,-6.9812,-1.5978,-5.8306,-7.5427
196002,-1.941,3.9465,-0.7577,-0.899,1.1535,1.7283,2.1736,1.4765,2.8876,0.5196,1.7913,0.1302,0.0733,0.9461,-0.958,2.0969,1.6883,2.2727,0.7366,1.6208,2.3182,-1.4318,5.0336,-2.6727,-3.9504
196003,-2.601,-5.1421,-3.5748,-1.5347,-2.5958,-3.5928,-2.6085,-3.1351,-2.2184,-4.5145,-1.6999,-0.1111,-2.8883,-3.6895,-6.6775,-0.4098,-0.2892,-4.047,-3.725,-6.7909,-0.4052,-1.7648,-0.6311,-3.2409,-7.1592
196004,-5.037,1.0141,-2.427,-2.6351,-2.4706,1.8599,-4.6003,-1.763,-1.4743,-2.8588,0.5258,-1.6906,-2.6072,-2.702,-5.3271,0.0012,-0.4802,-2.3518,-2.7865,-2.3511,-1.072,-2.7168,-1.498,-2.1734,-3.7258
196005,-4.9479,-1.3654,-1.497,1.7606,1.7791,2.1586,6.2275,1.7611,2.9191,6.1317,7.5444,1.207,3.8285,2.534,-0.1252,4.1541,1.9265,0.6148,2.8118,0.4992,5.0461,2.549,1.5869,-2.0267,-0.9292
196006,3.6579,-3.3257,5.8357,3.262,1.9514,3.2914,2.7462,1.786,2.6137,0.0506,4.728,0.9807,2.2439,3.7227,1.2992,2.576,2.2973,2.5878,1.4029,2.892,2.4107,2.5754,1.2679,3.2418,2.6907
196007,-5.4142,-3.9423,1.0267,-1.2091,-1.5717,-3.1985,-1.7786,-1.8321,-2.7292,-2.0129,-3.1329,-0.9848,-1.7989,-1.1689,-1.9118,-3.4881,-0.57,-0.4988,0.3744,-6.1182,-4.0862,-1.8568,0.4041,-0.9163,-0.0814
196008,22.9866,9.2011,2.3843,4.673,4.2671,0.1349,1.6651,4.2357,4.8934,4.2883,4.6971,5.999,3.4868,4.0572,1.3369,1.6391,3.6338,3.92,4.055,1.163,2.6585,2.8513,4.5272,4.133,2.5059
196009,-15.6954,-7.3876,-3.5436,-4.6304,-7.2237,-7.3729,-5.7804,-6.8021,-5.8189,-7.732,-7.7826,-5.2572,-4.672,-6.0891,-5.5518,-5.9251,-4.6591,-5.3112,-5.0629,-9.2457,-7.0995,-5.5799,-3.9628,-4.9856,-3.7524
196010,-8.7853,-3.4584,-2.9402,-1.2976,-2.7193,-7.0297,-2.7571,-2.4428,-3.8472,-1.1703,-3.2117,-2.681,-2.4468,-2.5859,-3.6516,-2.0355,-1.8903,-1.5273,1.1838,-4.0349,-0.6665,0.3807,0.3166,0.0694,2.2192
