gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,csho,epsfx,ni,costat
1045,12/31/13,2013,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,261.069,-11.25,-1834,A
1045,12/31/14,2014,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,697.475,3.93,2882,A
1045,12/31/15,2015,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,624.622,11.07,7610,A
1045,12/31/16,2016,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,507.294,4.81,2676,A
1045,12/31/17,2017,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,475.508,3.9,1919,A
1075,12/31/13,2013,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,110.182,3.66,406.074,A
1075,12/31/14,2014,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,110.571,3.58,397.595,A
1075,12/31/15,2015,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,110.98,3.92,437.257,A
1075,12/31/16,2016,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,111.337,3.95,442.034,A
1078,12/31/13,2013,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,1548.098,1.5,2576,A
1078,12/31/14,2014,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,1508.035,1.12,2284,A
1078,12/31/15,2015,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,1472.665,1.72,4423,A
1078,12/31/16,2016,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,1472.869,0.71,1400,A
1078,12/31/17,2017,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,1743.602,0.2,477,A
1177,12/31/13,2013,FS,C,D,STD,AET,00817Y108,AETNA INC,USD,,,,A
1177,12/31/13,2013,INDL,C,D,STD,AET,00817Y108,AETNA INC,USD,362.2,5.33,1913.6,A
1177,12/31/14,2014,FS,C,D,STD,AET,00817Y108,AETNA INC,USD,,,,A
1177,12/31/14,2014,INDL,C,D,STD,AET,00817Y108,AETNA INC,USD,349.8,5.68,2040.8,A
1177,12/31/15,2015,FS,C,D,STD,AET,00817Y108,AETNA INC,USD,,,,A
1177,12/31/15,2015,INDL,C,D,STD,AET,00817Y108,AETNA INC,USD,349.5,6.78,2390.2,A
1177,12/31/16,2016,FS,C,D,STD,AET,00817Y108,AETNA INC,USD,,,,A
1177,12/31/16,2016,INDL,C,D,STD,AET,00817Y108,AETNA INC,USD,351.7,6.41,2271,A
1209,9/30/13,2013,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,211.179,4.73,994.2,A
