This file was created by CMPT_IND_RETS using the 201712 CRSP database.,,,,,,,,,,
It contains value- and equal-weighted returns for 10 industry portfolios.,,,,,,,,,,
,,,,,,,,,,
The portfolios are constructed at the end of June.,,,,,,,,,,
,,,,,,,,,,
The annual returns are from January to December.,,,,,,,,,,
,,,,,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
  Average Value Weighted Returns -- Monthly,,,,,,,,,,
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
196307,-0.47,-0.22,-1.41,2.29,-0.69,-0.23,-1.03,0.56,0.8,-1.61
196308,4.87,6.55,6.2,3.93,5.14,4.29,6.4,9.56,4.2,5.49
196309,-1.68,-0.24,-0.76,-3.64,0.13,2.36,0.96,-4.06,-2.5,-3.16
196310,2.66,9.72,2.58,-0.32,8.29,3.4,0.48,3.38,-0.67,1.38
196311,-1.13,-4.84,0.3,-1.15,-0.29,4.16,-1.23,-1.65,-1.02,0.23
196312,2.83,0.27,1.91,4.65,3.05,-0.14,0.34,1.54,2.42,2.8
196401,0.79,1.19,2.69,4.84,2.91,3.35,2.54,3.68,1.4,1.24
196402,1.85,2.14,2.76,1.06,1.96,-0.28,1.61,1.66,0.87,5.45
196403,3.08,0.93,3.7,1.4,3.38,-0.94,2.47,-1.94,-0.75,2.18
196404,-0.45,1.93,-1.72,4.02,-3.63,0.81,2.86,-1.42,1.06,0.26
196405,1.56,1.12,1.77,2.14,2.74,-0.4,3.88,0.53,0.84,2.42
196406,1.61,0.67,0.92,0.65,0.52,4.76,3.8,0.59,2.2,1.36
196407,1.72,5.28,1.34,3.34,-1.8,-1.99,1.27,4.76,4.91,1.34
196408,-0.26,1.33,-1.25,-1.86,-2.75,-1.53,0.34,-4.22,-0.01,-3.13
196409,1.68,5.04,4.77,3.08,1.15,-1.02,3.47,2.73,1.87,4.05
196410,-0.16,0.25,0.3,3.06,-0.99,-0.89,2.3,2.88,0.95,1.84
196411,0.7,-1.38,-0.52,2.55,-0.23,-2.23,3.25,2.17,1.37,-1.8
196412,0.24,1.67,-0.82,-0.24,-0.01,3.1,0.18,4.38,0.5,-1.78
196501,6.06,3.76,5.52,0.51,7.46,0.27,3.07,7.66,3.96,4.72
196502,1.59,-0.69,2.51,-3.36,2.2,0.79,1.4,2.42,0.43,2.58
196503,-0.8,1.39,-1.16,-3.03,-0.48,-1.68,-0.85,-0.92,-0.52,-0.27
196504,4.2,7.04,4.02,0.86,5.14,2.3,6.81,2.98,0.65,2.16
196505,-0.8,-3.53,-0.52,0.86,0.48,2.79,0.21,-1.24,-0.97,-1.68
196506,-5.12,-6.83,-6.21,-1.98,-5.71,-4.14,-6.15,-5.31,-3.66,-6.97
196507,1.58,2.3,2.06,1.81,3.6,-0.38,-1.41,3.95,1.06,3.4
196508,4.05,3.21,3.64,1.56,5.88,1.33,2.29,6.29,0.92,5.07
196509,0.45,6.97,3.9,4.37,5.29,1.09,-0.66,2.24,1.39,1.8
196510,2.61,6.34,4.45,1.84,5.22,-2.29,0.3,3.23,1.05,4.26
196511,1.1,-4.03,1.39,0.71,2.73,-4.32,1.39,3.8,-1,3.88
196512,1.29,1.23,3.25,0.17,-1.54,-0.86,1.32,3.83,-0.31,3.47
196601,1.89,0.49,2.89,1.04,1.35,-1.3,-4.34,2.74,-3.02,5.25
196602,-0.48,-1.5,-0.73,-3.47,5.03,0.48,-1.87,-1.55,-4.17,2.09
