This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 201712 CRSP database.,,,,,,,,,,,,,,,,,,
It contains value- and equal-weighted returns for portfolios formed on OP.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
The portfolios are constructed at the end of June.  OP, operating profitability, is,,,,,,,,,,,,,,,,
operating profits (sales minus cost of goods sold, minus selling, general, and,,,,,,,,,,,,,,,
administrative expenses, minus interest expense) divided by book equity ,,,,,,,,,,,,,,,,,
at the last fiscal year end of the prior calendar year.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Annual returns are from January to December.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
The break points include utilities and include financials.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
The  portfolios  include utilities and include financials.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  Value Weight Returns -- Monthly,,,,,,,,,,,,,,,,,,
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196307,-0.84,0.31,0.11,-0.45,0.94,-0.09,-0.94,0.53,-1.32,-0.06,-1.35,1.88,-0.72,0.85,-1.16,-0.79,-0.27,1
196308,5.43,4.88,5.88,5.11,4.68,4.95,5.68,6.01,5.63,4.88,5.84,4.22,5.07,4.76,5.82,5.59,5.9,6.08
196309,-1.54,-0.79,-1.52,-2.35,-1.69,0.41,-1.95,-1.39,-3.07,-2.02,-0.49,-2.18,1.84,-1.68,-2.16,-1.82,-2.01,-1.03
196310,0.98,1.48,5.97,1.13,0.5,2.07,2.72,7.1,0.73,1.32,0.79,0.38,3.03,0.61,1.53,3.51,3.1,9.33
196311,-1.45,0.12,-1.2,-1.22,-1.15,1.02,0.64,-2.48,0.2,-1.86,-1.74,-0.91,2.26,-0.9,-1.01,1.72,0.12,-3.85
196312,2,2.41,2.06,1.25,3.67,1.4,2.76,1.81,1.82,0.99,2.96,3.96,0.42,2.98,3.05,2.58,2.91,1.21
196401,2.28,2.87,2.63,2.21,4.13,2.39,1.62,2.91,1.91,2.34,2.36,4.84,3.29,0.98,1,2.01,2.69,3.04
196402,2.3,1.28,2.22,2.32,2.06,0.83,1.7,2.4,3.82,1.63,2.29,1.97,0.45,1.45,1.52,1.82,1.94,2.66
196403,3.47,1.1,1.89,2.64,2.88,0.18,1.74,2.06,2.58,2.67,4.5,2.24,0.06,0.36,2.09,1.52,2.35,1.9
196404,1.84,1.02,-0.47,3.68,1.63,0.38,-1.29,0.4,0.09,5.36,-0.45,2.46,0.88,-0.42,0.43,-2.38,-0.48,0.9
196405,1.9,1.2,1.95,1.25,2.39,0.63,0.47,2.78,2.52,0.69,2.73,2.26,0.67,0.57,1.07,0.09,1.36,3.56
